country,income_1870,income_1979,sample,ln_income_1870,ln_income_1979,ln_income_growth_1870_1979
Australia,5950,24700,MS,8.69114649853968,10.1145585226161,1.42341202407639
United Kingdom,5720,21100,MS,8.65172408437384,9.95702831946416,1.30530423509032
Belgium,4420,24000,MS,8.39389497507174,10.0858091093301,1.69191413425834
Switzerland,6710,41100,MS,8.81135422996573,10.6237634004843,1.8124091705186
Netherlands,4990,27000,MS,8.51519118874556,10.2035921449865,1.68840095624091
United States,3740,29900,MS,8.22684089040858,10.3056137593788,2.0787728689702
Canada,2870,27100,MS,7.96206730875367,10.2072890068678,2.24522169811412
Denmark,3600,27800,MS,8.1886891244442,10.2327912996787,2.04410217523453
West Germany,3850,27800,MS,8.25582842728183,10.2327912996787,1.9769628723969
Austria,3230,24400,MS,8.0802374162167,10.1023384112813,2.02210099506459
Italy,3140,24000,MS,8.0519780789023,10.0858091093301,2.03383103042778
Norway,4120,37100,MS,8.32360844234357,10.5213722485955,2.19776380625196
Sweden,2270,25500,MS,7.72753511047545,10.1464337311465,2.41889862067107
Finland,1850,20700,MS,7.52294091807237,9.93788897925346,2.41494806118109
Japan,1160,21200,MS,7.05617528410041,9.9617564606601,2.90558117655969
France,3090,24300,MS,8.03592636989179,10.0982316293286,2.06230525943685
New Zealand,5100,21100,AS,8.53699581871242,9.95702831946416,1.42003250075174
Argentina,2580,14500,AS,7.85554467791566,9.58190392840867,1.72635925049301
Portugal,1690,14000,AS,7.43248380791712,9.5468126085974,2.11432880068028
Chile,1630,7430,AS,7.39633529380081,8.9132811377118,1.51694584391099
Ireland,3590,15900,AS,8.18590748148232,9.67407438820832,1.488166906726
Spain,2140,16600,AS,7.6685611080159,9.71715797434464,2.04859686632874
East Germany,3320,9200,AS,8.10772006191053,9.12695876303713,1.0192387011266
